title,id,vote_count,vote_average,original_language,runtime,production_companies,genres
Toy_Story,862,5415,7.7,en,81,Pixar_Animation_Studios,Comedy-Family
Jumanji,8844,2413,6.9,en,104,TriStar_Pictures,Adventure-Fantasy-Family
Grumpier_Old_Men,15602,92,6.5,en,101,Warner_Bros,Romance-Comedy
Waiting_to_Exhale,31357,34,6.1,en,127,Twentieth_Century_Fox_Film_Corporation,Comedy-Drama-Romance
Father_of_the_Bride_Part_2,11862,173,5.7,en,106,Sandollar_Productions_Touchstone_Pictures,Comedy
Heat,949,1886,7.7,en,170,Regency_Enterprises_Forward_Pass-Warner_Bros,Action-Crime-Drama-Thriller
Sabrina,11860,141,6.2,en,127,Paramount_Pictures-Scott_Rudin_Productions-Mirage_Enterprises-Sandollar_Productions-Constellation_Entertainment-iWorldwide-iMont_Blanc_Entertainment_GmbH,Comedy-Romance
Tom_and_Huck,45325,45,5.4,en,97,Walt_Disney_Pictures_,Action-Adventure-Drama-Family
Sudden_Death,9091,174,5.5,en,106,Universal_Pictures-Imperial_Entertainment-iSignature_Entertainment,Action-Adventure-Thriller
GoldenEye,710,1194,6.6,en,130,United_Artists-Eon_Productions,Adventure-Action-Thriller
The_American_President,9087,199,6.5,en,106,Columbi_aPictures-Castle_Rock_Entertainment,Comedy-Drama-Romance
Dracula_Dead_and_Loving_It,12110,210,5.7,en,88,Columbia_Pictures-Castle_Rock_Entertainment-Enigma_Pictures,Comedy-Horror
Balto,21032,423,7.1,en,78,Universal_Pictures-Amblin_Entertainment-Amblimation,Family-Animation-Adventure
Nixon,10858,72,7.1,en,192,Hollywoo__Pictures-Cinergi_Pictures_Entertainment,History-Drama
Cutthroat_Island,1408,137,5.7,en,119,Le_Studio_Canal-Laurence_Mark_Productions-Metro_Goldwyn_Mayer-Carolco_Pictures,Action-Adventure
Casino,524,1343,7.8,en,178,Universal_Pictures-Légende_Entreprises-iSyalis_DA-iDe_Fina_Cappa,Drama-Crime
Sense_and_Sensibility,4584,364,7.2,en,136,Columbia_Pictures_Corporation-Mirage_Enterprises,Drama-Romance
Four_Rooms,5,539,6.5,en,98,Miramax_Films-A_Band_Apart,Crime-Comedy
Ace_Ventura:_When_Nature_Calls,9273,1128,6.1,en,90,Warner_Bros-Morgan_Creek_Productions,Crime-Comedy-Adventure
Money_Train,11517,224,5.4,en,103,Columbia_Pictures,Action-Comedy-Crime
Get_Shorty,8012,305,6.4,en,105,Jersey_Films-Metro_Goldwyn_Mayer,Comedy-Thriller-Crime
Copycat,1710,199,6.5,en,124,Regency_Enterprises-New_Regency_Pictures,Drama-Thriller
Assassins,9691,394,6,en,132,Silver_Pictures-Canal-Warner_Bros-Dino_De_Laurentiis_Company-iDonner_Shuler_Donner_Productions-iEvansgideon_Lazar,Action-Adventure-Crime-Thriller
Powder,12665,143,6.3,en,111,Caravan_Pictures-Hollywood_Pictures,Drama-Fantasy-Science_Fiction-Thriller
Leaving_Las_Vegas,451,365,7.1,en,112,United_Artists-Intial_Productions,Drama-Romance
Othello,16420,33,7,en,123,Columbia_Pictures-Castle_Rock_Entertainment,Drama
Now_and_Then,9263,91,6.6,en,100,New_Line_Cinema,Comedy-Drama-Family
Persuasion,17015,36,7.4,en,104,BBC_Films,Drama-Romance
The_City_of_Lost_Children,902,308,7.6,fr,108,Procirep_Constellation_Productions-France_3_Cinéma-Claudie_Ossard_Productions-Eurimages-MEDIA_Programme_of_the_European_Union-Cofimage_5-Televisión_Espanola-Tele_Munchen_Fernseh_Produktions-gesellschaft-Club_dInvestissement_Media_canal_Espana,Fantasy-Science-FictionAdventure
Shanghai_Triad,37557,17,6.5,zh,108,Ministere_des_Affaires_Etrangeres-Alpha_Films-La_Sept_Cinema,Drama-Crime
Dangerous_Minds,9909,249,6.4,en,99,Hollywood_Pictures-Via_Rosa_Productions-iDon_Simpson-Jerry_Bruckheimer_Films,Drama-Crime
Twelve_Monkeys,63,2470,7.4,en,129,Universal_Pictures-Atlas_Entertainment-Classico,Science_Fiction-Thriller-Mystery
Wings_of_Courage,78802,4,6.8,fr,50,Iwerks_Entertainment,Romance-Adventure
Babe,9598,756,6,en,89,Universal_Pictures-Kennedy_Miller_Productions,Fantasy-Drama-Comedy-Family
Carrington,47018,16,6.4,en,121,StudioCanal-Cinea-Euston_Films-Freeway_Films-iEuropean_Co-production_Fund-iPolygram_Filmed_Entertainment-iOrsans_Productions,History-Drama-Romance
Dead_Man_Walking,687,350,7.3,en,122,Havoc-PolyGram_Filmed_Entertainment-Working_Title_Films,Drama
Across_the_Sea_of_Time,139405,2,3.5,en,51,Sony_New_Technologies,Adventure-History-Drama-Family
It_Takes_Two,33689,149,6.1,en,101,Dualstar_Productions-Warner_Bros-Rysher_Entertainment-iOrr_and_Cruickshank,Comedy-Family-Romance
Clueless,9603,828,6.9,en,97,Paramount_Pictures,Comedy-Drama-Romance
Cry_the_Beloved_Country,34615,13,6.7,en,106,Miramax-iDistant_Horizon-iAlpine_Pty_Limited,Drama
Richard_III,31174,50,6.9,en,104,British_Screen-Mayfair_Entertainment_International,Drama-War
Dead_Presidents,11443,80,6.6,en,119,Caravan_Pictures-Underworld_Entertainment-Hollywood_Pictures,Action-Crime-Drama-History
Restoration,35196,30,6.3,en,117,Miramax_Films,Drama-Romance
Mortal_Kombat,9312,452,5.4,en,101,New_Line_Cinema-Threshold_Entertainment,Action-Fantasy
To_Die_For,577,177,6.7,en,106,The_Rank_Organisation-Columbia_Pictures_Corporation,Fantasy-Drama-Comedy-Thriller
How_To_Make_An_American_Quilt,11861,38,6.5,en,116,Universal_Pictures-Amblin_Entertainment,Drama-Romance
Se7en,807,5915,8.1,en,127,New_Line_Cinema-Juno_Pix-Cecchi_Gori_Pictures,Crime-Mystery-Thriller
Pocahontas,10530,1509,6.7,en,81,Walt_Disney_PicturesWalt_Disney_Feature_Animation,Adventure-Animation-Drama-Family
When_Night_Is_Falling,8391,10,5.9,en,96,Alliance_Communications_Corporation,Drama-Romance
The_Usual_Suspects,629,3334,8.1,en,106,Blue_Parrot_Productions-Bad_Hat_Harry_Productions,Drama-Crime-Thriller
Mighty_Aphrodite,11448,145,6.7,en,95,Miramax_Films-Magnolia_Pictures,Comedy-Romance
The_Big_Green,26441,41,5.2,en,100,Walt_Disney_PicturesCaravan_Pictures,Action-Adventure-Comedy-Family
Georgia,97406,15,6.1,en,115,Miramax_Films-CiBy_2000,Drama
Kids_of_the_Round_Table,124057,1,3,en,89,Telefilm_Canada-Melenny_Productions,Adventure-Thriller-Family
Home_for_the_Holidays,9089,39,6.3,en,103,Paramount_PicturesEgg_Pictures-PolyGram_Filmed_Entertainment,Comedy-Drama-Romance
The_Postman,11010,181,7.6,it,108,Telefilm_Canada-Melenny_Productions,Comedy-Drama-Romance
The_Indian_in_the_Cupboard,11359,136,5.9,en,96,Paramount_Pictures-Columbia_Pictures_Corporation-The_Kennedy_Marshall_Company,Adventure-Family-Fantasy
Eye_for_an_Eye,17182,65,5.8,en,101,Paramount_Pictures,Drama-Thriller
Mr._Hollands_Opus,2054,115,6.9,en,137,Hollywood_Pictures-The_Charlie_Mopic_Company-PolyGram_Filmed_Entertainment-Interscope_Communications,Music-Drama-Family
Dont_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood,10607,192,6.2,en,89,Miramax_Films-Island_Pictures-Ivory_Way_Productions,Comedy
Two_If_by_Sea,19760,14,4.5,en,96,Warner_Bros-Morgan_Creek_Productions,Comedy-Romance
Bio-Dome,9536,110,4.4,en,88,Metro-Goldwyn-Mayer-Motion_Picture_Corporation_of_America-i3_Arts_Entertainment-iWeasel_Productions,Comedy
Lawnmower_Man_2_Beyond_Cyberspace,11525,32,2.8,en,92,New_Line_Cinema,Action-Science-Fiction
Two_Bits,40628,11,5.4,en,85,Miramax_Films,Drama-Family
French_Twist,4482,43,6,fr,95,Renn_Productions-Les_Films_Flam-TF1_Films_Production-Canal,Comedy-Romance
Friday,10634,513,7,en,91,New_Line_Cinema,Comedy
From_Dusk_Till_Dawn,755,1644,6.9,en,108,A_Band_Apart-Dimension_Films-Los_Hooligans_Productions-iMiramax,Horror-Action-Thriller-Crime
Fair_Game,11859,54,4.1,en,91,Silver_Pictures-Warner_Bros,Action-Thriller-Romance
Kicking_and_Screaming,28387,36,7,en,96,Castleberg_Productions-Sandollar_Productions,Comedy-Drama-Romance
Les_Miserables,48750,8,6.6,fr,175,Les_Films_13-Canal-TF1,Drama-History
Bed_of_Roses,20927,27,5.1,en,87,New_Line_Cinema-Juno_Pix,Drama-Romance
Big_Bully,36929,16,3.9,en,90,Warner_Bros-Morgan_Creek_Productions,Comedy-Family
Screamers,9102,154,6.1,en,108,The_Movie_Network-Allegro_Films-Fuji_Eight_Company_Ltd-Fries_Film_Group-iSuper_Ecran-iTriumph_Films,Horror-Science_Fiction
Nico_Icon,124626,3,7.3,en,70,Zweites_Deutsches_Fernsehen-Ciak_Filmproduktion-iBluehorse_Films,Documentary
The_Crossing_Guard,27526,74,6.1,en,111,Miramax_Films,Drama-Thriller
The_Juror,9623,91,5.5,en,118,Columbia_Pictures_Corporation,Drama-Thriller
The_White_Balloon,46785,20,7.5,fa,85,I.R.I.B._Channel_2-iFerdos_Films,Family-Drama
Things_to_Do_in_Denver_When_Youre_Dead,400,87,6.7,en,116,Miramax_Films,Drama-Crime
Antonias_Line,880,26,7.2,nl,102,Bergen_Film-Bard_Entertainments-NPS_Televisie,Drama-Comedy
Once_Upon_a_Time..._When_We_Were_Colored,146599,2,4.5,en,115,BET_Pictures-iUnited_Image_Entertainme,Romance-Drama
Angels_and_Insects,8447,17,6.3,en,118,Playhouse_International_Pictures-The_Samuel_Goldwyn_Company,Drama-Romance
